nivel,frequencia,probabilidade,cdf,lut
0,656600,0.8795760459533608,0.8795760459533608,224
1,0,0.0,0.8795760459533608,224
2,0,0.0,0.8795760459533608,224
3,0,0.0,0.8795760459533608,224
4,0,0.0,0.8795760459533608,224
5,0,0.0,0.8795760459533608,224
6,0,0.0,0.8795760459533608,224
7,0,0.0,0.8795760459533608,224
8,0,0.0,0.8795760459533608,224
9,0,0.0,0.8795760459533608,224
10,0,0.0,0.8795760459533608,224
11,0,0.0,0.8795760459533608,224
12,0,0.0,0.8795760459533608,224
13,0,0.0,0.8795760459533608,224
14,0,0.0,0.8795760459533608,224
15,0,0.0,0.8795760459533608,224
16,0,0.0,0.8795760459533608,224
17,0,0.0,0.8795760459533608,224
18,0,0.0,0.8795760459533608,224
19,0,0.0,0.8795760459533608,224
20,0,0.0,0.8795760459533608,224
21,0,0.0,0.8795760459533608,224
22,0,0.0,0.8795760459533608,224
23,0,0.0,0.8795760459533608,224
24,0,0.0,0.8795760459533608,224
25,0,0.0,0.8795760459533608,224
26,0,0.0,0.8795760459533608,224
27,0,0.0,0.8795760459533608,224
28,0,0.0,0.8795760459533608,224
29,0,0.0,0.8795760459533608,224
30,0,0.0,0.8795760459533608,224
31,0,0.0,0.8795760459533608,224
32,0,0.0,0.8795760459533608,224
33,0,0.0,0.8795760459533608,224
34,0,0.0,0.8795760459533608,224
35,0,0.0,0.8795760459533608,224
36,0,0.0,0.8795760459533608,224
37,0,0.0,0.8795760459533608,224
38,0,0.0,0.8795760459533608,224
39,0,0.0,0.8795760459533608,224
40,0,0.0,0.8795760459533608,224
41,0,0.0,0.8795760459533608,224
42,0,0.0,0.8795760459533608,224
43,0,0.0,0.8795760459533608,224
44,0,0.0,0.8795760459533608,224
45,0,0.0,0.8795760459533608,224
46,0,0.0,0.8795760459533608,224
47,0,0.0,0.8795760459533608,224
48,0,0.0,0.8795760459533608,224
49,0,0.0,0.8795760459533608,224
50,0,0.0,0.8795760459533608,224
51,0,0.0,0.8795760459533608,224
52,0,0.0,0.8795760459533608,224
53,0,0.0,0.8795760459533608,224
54,0,0.0,0.8795760459533608,224
55,0,0.0,0.8795760459533608,224
56,0,0.0,0.8795760459533608,224
57,0,0.0,0.8795760459533608,224
58,0,0.0,0.8795760459533608,224
59,0,0.0,0.8795760459533608,224
60,0,0.0,0.8795760459533608,224
61,0,0.0,0.8795760459533608,224
62,0,0.0,0.8795760459533608,224
63,0,0.0,0.8795760459533608,224
64,0,0.0,0.8795760459533608,224
65,0,0.0,0.8795760459533608,224
66,0,0.0,0.8795760459533608,224
67,0,0.0,0.8795760459533608,224
68,0,0.0,0.8795760459533608,224
69,0,0.0,0.8795760459533608,224
70,0,0.0,0.8795760459533608,224
71,0,0.0,0.8795760459533608,224
72,0,0.0,0.8795760459533608,224
73,0,0.0,0.8795760459533608,224
74,0,0.0,0.8795760459533608,224
75,0,0.0,0.8795760459533608,224
76,0,0.0,0.8795760459533608,224
77,0,0.0,0.8795760459533608,224
78,0,0.0,0.8795760459533608,224
79,0,0.0,0.8795760459533608,224
80,0,0.0,0.8795760459533608,224
81,0,0.0,0.8795760459533608,224
82,0,0.0,0.8795760459533608,224
83,0,0.0,0.8795760459533608,224
84,0,0.0,0.8795760459533608,224
85,0,0.0,0.8795760459533608,224
86,0,0.0,0.8795760459533608,224
87,0,0.0,0.8795760459533608,224
88,0,0.0,0.8795760459533608,224
89,0,0.0,0.8795760459533608,224
90,0,0.0,0.8795760459533608,224
91,0,0.0,0.8795760459533608,224
92,0,0.0,0.8795760459533608,224
93,0,0.0,0.8795760459533608,224
94,0,0.0,0.8795760459533608,224
95,0,0.0,0.8795760459533608,224
96,0,0.0,0.8795760459533608,224
97,0,0.0,0.8795760459533608,224
98,0,0.0,0.8795760459533608,224
99,0,0.0,0.8795760459533608,224
100,0,0.0,0.8795760459533608,224
101,0,0.0,0.8795760459533608,224
102,0,0.0,0.8795760459533608,224
103,0,0.0,0.8795760459533608,224
104,0,0.0,0.8795760459533608,224
105,0,0.0,0.8795760459533608,224
106,0,0.0,0.8795760459533608,224
107,0,0.0,0.8795760459533608,224
